# Server version 0.08 running on 192.168.1.6:8123
# Game ID: 268
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 3000
# First Move Timeout: 30000
# Date: Sun Mar 26 23:05:50 EDT 2017
# Player 1: Player-0, 'mcmcmcmcm', running on localhost
# Player 2: Player-1, 'GreedyPlayer', running on 192.168.1.6
START Player-0 mcmcmcmcm
START Player-1 GreedyPlayer
PIT 0 0
PIT 1 0
PIT 0 2
PIT 1 5
PIT 0 0
PIT 1 1
PIT 0 5
PIT 1 3
PIT 0 4
PIT 1 2
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 0
PIT 0 3
PIT 1 4
PIT 0 2
PIT 1 1
PIT 0 3
PIT 1 0
PIT 0 4
PIT 1 0
PIT 0 5
PIT 1 0
PIT 1 1
PIT 1 3
GAMEOVER WINNER 1         Player-0 score: 30  Player-1 score: 42
# Game ended: Sun Mar 26 23:05:59 EDT 2017
